Site,Site2,Transect,Quadrat,Litbag,Lit,LitNum,Teabag,Tea,TeaNum,Julday1,Julday2,Julday3,Temp1,Temp2,Temp3,Moist1,Moist2,Moist3,VolMoist1,VolMoist2,VolMoist3,SOM,percNsoil,percCsoil,NOxinit,NH4init,Nitrif,Nmin,WHC,pH,TpH,Cmin1,Cmin2,Cmin,SIR,LitSIR,IncTime,TeaLoss,LitLoss,STeaLoss,SLitLoss,LitMoist,mLitMoist,LitlCloss,SLitCloss,LitNmin,SLitNmin,LitInitCN,LitFinCN,LitinitN,TeainitN
Umea,1,1,1,1,Hol,1,337,Green,1,125,170,216,4.5,10.1,13.9,41.91,36.12,44.27,NA,NA,NA,5.37,0.26,3.33,69.82,0.81,0.822,-0.02,60.76,5.76,1.738,0.33,0.37,0.35,1.12,198.39,91,58.83,52.6,58.18,52.03,87.2,81,54.07,53.47,0.757,0.76,24.65,14.8,1.86,4.19
Umea,1,1,2,2,Hol,1,338,Green,1,125,170,216,4.5,9.6,13.9,44.68,33.71,40.73,NA,NA,NA,6.64,0.24,3.39,37.62,1.76,1.597,-0.09,65.8,5.75,1.778,0.43,0.51,0.47,1.15,146.59,91,54.72,49.72,54.12,49.17,79.5,73.5,50.89,50.33,0.633,0.637,24.65,18.93,1.58,3.79
Umea,1,1,3,3,Hol,1,339,Green,1,125,170,216,4.5,10.1,12.9,47.74,37.34,40.86,NA,NA,NA,7.25,0.27,3.86,61.88,1.1,2.8,1.099,68.41,5.48,3.311,0.37,0.41,0.39,1.03,148.1,91,56.89,44.67,56.27,44.18,68.6,63.7,47.31,46.79,0.649,0.653,24.65,19.81,1.74,4.2
Umea,1,1,4,4,Hol,1,340,Green,1,125,170,216,4.4,9.6,13,44.67,34.45,41.82,NA,NA,NA,6.19,0.24,3.56,17.76,1.49,0.963,0.029,46.48,5.59,2.57,0.31,0.33,0.32,0.95,180.52,91,63.4,38.67,62.71,38.24,81.4,77.3,42.54,42.07,0.724,0.728,24.65,19.35,2.06,4.07
Umea,1,1,5,5,Hol,1,341,Green,1,125,170,216,4.6,10.6,13.2,46.1,38.99,43.94,NA,NA,NA,6.31,0.22,3.24,19.7,1.25,1.73,-0.029,68.43,5.41,3.89,0.35,0.38,0.37,0.87,188.7,91,60.55,39.51,59.89,39.08,73.7,70.7,43.63,43.15,0.667,0.671,24.65,20.61,1.87,4.29
Umea,1,1,6,6,Hol,1,342,Green,1,125,170,216,4.6,9.7,13.1,42.38,34.79,42.67,NA,NA,NA,5.74,0.2,2.77,23.27,0.99,1.868,0.004,62.69,5.4,3.981,0.32,0.35,0.34,1,177.09,91,62,47.21,61.32,46.69,85.5,78.3,48.69,48.15,0.603,0.608,24.65,20.74,1.61,4.19
Umea,1,1,7,7,Hol,1,343,Green,1,125,170,216,4.6,10.2,13.3,42.52,35.67,45.14,NA,NA,NA,5.49,0.18,2.6,42.12,0.78,1.174,-0.003,61.11,5.32,4.786,0.27,0.3,0.28,0.85,146.1,91,58.85,51,58.2,50.44,76.1,74.9,54.29,53.7,0.541,0.546,24.65,20.61,1.64,4.27
Umea,1,2,8,8,Hol,1,344,Green,1,125,170,216,4.5,9.9,13,45.66,32.02,52.27,NA,NA,NA,6.9,0.23,3.16,27.88,1.05,1.68,0.037,61,5.65,2.239,0.34,0.38,0.36,1.09,156.23,91,50.97,42.85,50.41,42.38,81.2,78.1,45.17,44.67,0.691,0.694,24.65,19.37,1.94,4.27
Umea,1,2,9,9,Hol,1,345,Green,1,125,170,216,4.5,10.2,13.6,44.93,37.41,39.91,NA,NA,NA,6.66,0.23,3.32,43.64,2.42,0.965,-0.094,66.82,5.55,2.818,0.67,0.72,0.7,1.23,185.72,91,59.68,38.55,59.03,38.13,49.7,46.8,41.29,40.84,0.678,0.681,24.65,21.13,1.56,3.99
Umea,1,2,10,10,Hol,1,346,Green,1,125,170,216,4.8,10.2,12.8,44.76,31.33,47.61,NA,NA,NA,3.03,0.23,3.08,32.38,1.41,1.218,-0.042,64.17,5.8,1.585,0.34,0.37,0.36,1.09,159.55,91,58.12,42.45,57.48,41.98,79.5,73.2,46.13,45.62,0.809,0.811,24.65,16.25,2.03,3.9
