id,file_id,name,tea_type,location_type,biome,latitude,longitude,start_weight_green,end_weight_green,start_weight_red,end_weight_red,weight_include,k,S,t,date_in,origin,source,comment,created_at,updated_at
1,,Puyehue_Nothofagus.pumilio,2,1,4,-40.776700000,-72.197800000,,0.0000,,0.0000,0,0.006955918,0.114790519,91,2018-01-11,0,,"Temperate forests","2023-10-12 09:43:57",,teatime
2,,Puyehue_Saxegothaea.conspicua,2,1,4,-40.759200000,-72.297600000,,0.0000,,0.0000,0,0.011238716,0.260654080,91,2018-01-11,0,,"Temperate forests","2023-10-12 09:43:57",,teatime
3,,AlerceCostero_Nothofagus.nitida,2,1,4,-40.198600000,-73.431500000,,0.0000,,0.0000,0,0.010603153,0.468053829,88,2018-01-11,0,,"Temperate forests","2023-10-12 09:43:57",,teatime
4,,AlerceCostero_ValdivianForest,2,1,4,-40.169700000,-73.549000000,,0.0000,,0.0000,0,0.005508697,0.215299629,88,2018-01-11,0,,"Temperate forests","2023-10-12 09:43:57",,teatime
5,,Tolhuaca_Nothofagus.dombeyi,2,1,4,-38.205000000,-71.817400000,,0.0000,,0.0000,0,0.009441305,0.324013563,89,2018-01-19,0,,"Temperate forests","2023-10-12 09:43:57",,teatime
6,,Tolhuaca_Araucaria.araucana,2,1,4,-38.199800000,-71.810700000,,0.0000,,0.0000,0,0.006699425,0.123679080,89,2018-01-19,0,,"Temperate forests","2023-10-12 09:43:57",,teatime
7,,"CT R1",2,1,4,-38.029100000,-73.205100000,,0.0000,,0.0000,0,0.009323658,0.286225785,108,2017-08-28,0,,"Temperate forests","2023-10-12 09:43:57",,teatime
8,,"CT R2",2,1,4,-38.029100000,-73.205100000,,0.0000,,0.0000,0,0.012600420,0.326155935,108,2017-08-28,0,,"Temperate forests","2023-10-12 09:43:57",,teatime
9,,"CT R3",2,1,4,-38.029100000,-73.205100000,,0.0000,,0.0000,0,0.010642451,0.267582599,108,2017-08-28,0,,"Temperate forests","2023-10-12 09:43:57",,teatime
10,,Nahuelbuta_Nothofagus.dombeyi,2,1,4,-37.815900000,-73.009000000,,0.0000,,0.0000,0,0.004426625,0.105674047,90,2018-01-20,0,,"Temperate forests","2023-10-12 09:43:57",,teatime
11,,"NH NF 6",2,1,4,-37.784300000,-72.995600000,,0.0000,,0.0000,0,0.006801158,0.184440369,196,2017-05-31,0,,"Temperate forests","2023-10-12 09:43:57",,teatime
12,,"NH NF10",2,1,4,-37.784300000,-72.995600000,,0.0000,,0.0000,0,0.008395778,0.232529762,196,2017-05-31,0,,"Temperate forests","2023-10-12 09:43:57",,teatime
13,,"NH NF7",2,1,4,-37.784300000,-72.995600000,,0.0000,,0.0000,0,0.006669516,0.314122191,196,2017-05-31,0,,"Temperate forests","2023-10-12 09:43:57",,teatime
14,,"NH NF8",2,1,4,-37.784300000,-72.995600000,,0.0000,,0.0000,0,0.004572513,0.202468194,196,2017-05-31,0,,"Temperate forests","2023-10-12 09:43:57",,teatime
15,,"NH NF9",2,1,4,-37.784300000,-72.995600000,,0.0000,,0.0000,0,0.005452707,0.211744205,196,2017-05-31,0,,"Temperate forests","2023-10-12 09:43:57",,teatime
16,,"NH SF1",2,1,4,-37.784300000,-72.995600000,,0.0000,,0.0000,0,0.006626063,0.222182566,196,2017-05-31,0,,"Temperate forests","2023-10-12 09:43:57",,teatime
17,,"NH SF2",2,1,4,-37.784300000,-72.995600000,,0.0000,,0.0000,0,0.006145262,0.171198693,196,2017-05-31,0,,"Temperate forests","2023-10-12 09:43:57",,teatime
18,,"NH SF3",2,1,4,-37.784300000,-72.995600000,,0.0000,,0.0000,0,0.005459444,0.178947695,196,2017-05-31,0,,"Temperate forests","2023-10-12 09:43:57",,teatime
19,,"NH SF4",2,1,4,-37.784300000,-72.995600000,,0.0000,,0.0000,0,0.006108436,0.202171908,196,2017-05-31,0,,"Temperate forests","2023-10-12 09:43:57",,teatime
20,,"NH SF5",2,1,4,-37.784300000,-72.995600000,,0.0000,,0.0000,0,0.004476605,0.209100428,196,2017-05-31,0,,"Temperate forests","2023-10-12 09:43:57",,teatime
21,,"LC NF10",2,1,4,-32.952400000,-71.073100000,,0.0000,,0.0000,0,0.009344889,0.393207590,88,2017-06-03,0,,"Temperate forests","2023-10-12 09:43:57",,teatime
22,,"LC NF6",2,1,4,-32.952400000,-71.073100000,,0.0000,,0.0000,0,0.015440906,0.376706775,88,2017-06-03,0,,"Temperate forests","2023-10-12 09:43:57",,teatime
23,,"LC NF7",2,1,4,-32.952400000,-71.073100000,,0.0000,,0.0000,0,0.015644148,0.353573726,88,2017-06-03,0,,"Temperate forests","2023-10-12 09:43:57",,teatime
24,,"LC NF8",2,1,4,-32.952400000,-71.073100000,,0.0000,,0.0000,0,0.025030156,0.378621234,88,2017-06-03,0,,"Temperate forests","2023-10-12 09:43:57",,teatime
25,,"LC NF9",2,1,4,-32.952400000,-71.073100000,,0.0000,,0.0000,0,0.018277631,0.375635589,88,2017-06-03,0,,"Temperate forests","2023-10-12 09:43:57",,teatime
26,,"LC SF1",2,1,4,-32.952400000,-71.073100000,,0.0000,,0.0000,0,0.009279363,0.298145573,88,2017-06-03,0,,"Temperate forests","2023-10-12 09:43:57",,teatime
27,,"LC SF2",2,1,4,-32.952400000,-71.073100000,,0.0000,,0.0000,0,0.013749122,0.325472199,88,2017-06-03,0,,"Temperate forests","2023-10-12 09:43:57",,teatime
28,,"LC SF3",2,1,4,-32.952400000,-71.073100000,,0.0000,,0.0000,0,0.011542278,0.360092003,88,2017-06-03,0,,"Temperate forests","2023-10-12 09:43:57",,teatime
29,,"LC SF4",2,1,4,-32.952400000,-71.073100000,,0.0000,,0.0000,0,0.014431266,0.336662669,88,2017-06-03,0,,"Temperate forests","2023-10-12 09:43:57",,teatime
30,,"LC SF5",2,1,4,-32.952400000,-71.073100000,,0.0000,,0.0000,0,0.014192400,0.344844703,88,2017-06-03,0,,"Temperate forests","2023-10-12 09:43:57",,teatime
31,,"QdT NF11",2,1,12,-30.068300000,-71.075800000,,0.0000,,0.0000,0,0.007938998,0.273872965,89,2017-06-05,0,,"Mediterranean woodland","2023-10-12 09:43:57",,teatime
32,,"QdT NF6",2,1,12,-30.068300000,-71.075800000,,0.0000,,0.0000,0,0.008351665,0.383726458,89,2017-06-05,0,,"Mediterranean woodland","2023-10-12 09:43:57",,teatime
33,,"QdT NF7",2,1,12,-30.068300000,-71.075800000,,0.0000,,0.0000,0,0.010507289,0.439017864,89,2017-06-05,0,,"Mediterranean woodland","2023-10-12 09:43:57",,teatime
34,,"QdT NF8",2,1,12,-30.068300000,-71.075800000,,0.0000,,0.0000,0,0.006632353,0.239595028,89,2017-06-05,0,,"Mediterranean woodland","2023-10-12 09:43:57",,teatime
35,,"QdT NF9",2,1,12,-30.068300000,-71.075800000,,0.0000,,0.0000,0,0.007987722,0.275969753,89,2017-06-05,0,,"Mediterranean woodland","2023-10-12 09:43:57",,teatime
36,,"QdT SF1",2,1,12,-30.068300000,-71.075800000,,0.0000,,0.0000,0,0.011286767,0.411121458,89,2017-06-05,0,,"Mediterranean woodland","2023-10-12 09:43:57",,teatime
37,,"QdT SF2",2,1,12,-30.068300000,-71.075800000,,0.0000,,0.0000,0,0.014476794,0.491164087,89,2017-06-05,0,,"Mediterranean woodland","2023-10-12 09:43:57",,teatime
38,,"QdT SF3",2,1,12,-30.068300000,-71.075800000,,0.0000,,0.0000,0,0.013928217,0.453900506,89,2017-06-05,0,,"Mediterranean woodland","2023-10-12 09:43:57",,teatime
39,,"QdT SF4",2,1,12,-30.068300000,-71.075800000,,0.0000,,0.0000,0,0.011260372,0.261907595,89,2017-06-05,0,,"Mediterranean woodland","2023-10-12 09:43:57",,teatime
40,,"QdT SF5",2,1,12,-30.068300000,-71.075800000,,0.0000,,0.0000,0,0.022513208,0.446151504,89,2017-06-05,0,,"Mediterranean woodland","2023-10-12 09:43:57",,teatime
41,,5WV,2,1,12,-30.066100000,116.217600000,,0.0000,,0.0000,0,0.006620857,0.595912356,98,2017-08-04,0,,"Mediterranean woodland","2023-10-12 09:43:57",,teatime
42,,6WV,2,1,12,-30.056500000,116.230400000,,0.0000,,0.0000,0,0.008870886,0.423269158,98,2017-08-04,0,,"Mediterranean woodland","2023-10-12 09:43:57",,teatime
43,,4WV,2,1,12,-29.991600000,116.242700000,,0.0000,,0.0000,0,0.003917789,0.477967993,100,2017-08-03,0,,"Mediterranean woodland","2023-10-12 09:43:57",,teatime
44,,3WV,2,1,12,-29.991300000,116.224000000,,0.0000,,0.0000,0,0.005253652,0.448225501,101,2017-08-02,0,,"Mediterranean woodland","2023-10-12 09:43:57",,teatime
45,,2WV,2,1,12,-29.960500000,116.179900000,,0.0000,,0.0000,0,0.005830085,0.525487606,102,2017-08-02,0,,"Mediterranean woodland","2023-10-12 09:43:57",,teatime
46,,1WV,2,1,12,-29.948100000,116.193100000,,0.0000,,0.0000,0,0.002190542,0.602407843,103,2017-08-01,0,,"Mediterranean woodland","2023-10-12 09:43:57",,teatime
47,,7WV,2,1,12,-29.470600000,116.210100000,,0.0000,,0.0000,0,0.007772352,0.483096009,95,2017-08-05,0,,"Mediterranean woodland","2023-10-12 09:43:57",,teatime
48,,Wakkerstroom,2,1,10,-27.355400000,30.140800000,,0.0000,,0.0000,0,0.038770330,0.533709525,105,2017-05-23,0,,"Montane grasslands/shrubs","2023-10-12 09:43:57",,teatime
49,,Wakkerstroom,2,1,10,-27.355400000,30.140800000,,0.0000,,0.0000,0,0.009313840,0.075589688,88,2017-09-05,0,,"Montane grasslands/shrubs","2023-10-12 09:43:57",,teatime
50,,Klipriviersberg,2,1,10,-26.289500000,28.011000000,,0.0000,,0.0000,0,0.021439764,0.682045928,91,2017-06-05,0,,"Montane grasslands/shrubs","2023-10-12 09:43:57",,teatime
51,,Klipriviersberg,2,1,10,-26.289500000,28.011000000,,0.0000,,0.0000,0,0.009379495,0.084649182,87,2017-09-04,0,,"Montane grasslands/shrubs","2023-10-12 09:43:57",,teatime
52,,"PdA LL R4",2,1,12,-26.010800000,-70.607600000,,0.0000,,0.0000,0,0.004788587,0.524427816,90,2017-06-08,0,,"Mediterranean woodland","2023-10-12 09:43:57",,teatime
53,,"PdA LL R5",2,1,12,-26.010800000,-70.607600000,,0.0000,,0.0000,0,0.006282582,0.242010893,90,2017-06-08,0,,"Mediterranean woodland","2023-10-12 09:43:57",,teatime
54,,"PdA LL R6",2,1,12,-26.010800000,-70.607600000,,0.0000,,0.0000,0,0.004948443,0.357812885,90,2017-06-08,0,,"Mediterranean woodland","2023-10-12 09:43:57",,teatime
55,,"PdA PB NF10",2,1,12,-25.949700000,-70.608900000,,0.0000,,0.0000,0,0.000000000,0.924447234,90,2017-06-07,0,,"Mediterranean woodland","2023-10-12 09:43:57",,teatime
56,,"PdA PB NF6",2,1,12,-25.949700000,-70.608900000,,0.0000,,0.0000,0,0.004806987,0.310977008,90,2017-06-07,0,,"Mediterranean woodland","2023-10-12 09:43:57",,teatime
57,,"PdA PB NF7",2,1,12,-25.949700000,-70.608900000,,0.0000,,0.0000,0,0.003935560,0.703213237,90,2017-06-07,0,,"Mediterranean woodland","2023-10-12 09:43:57",,teatime
58,,"PdA PB NF8",2,1,12,-25.949700000,-70.608900000,,0.0000,,0.0000,0,0.001463935,0.436601999,90,2017-06-07,0,,"Mediterranean woodland","2023-10-12 09:43:57",,teatime
59,,"PdA PB NF9",2,1,12,-25.949700000,-70.608900000,,0.0000,,0.0000,0,0.002252752,0.555024977,90,2017-06-07,0,,"Mediterranean woodland","2023-10-12 09:43:57",,teatime
60,,"PdA PB SF1",2,1,12,-25.949700000,-70.608900000,,0.0000,,0.0000,0,0.002424689,0.563434923,90,2017-06-07,0,,"Mediterranean woodland","2023-10-12 09:43:57",,teatime
61,,"PdA PB SF2",2,1,12,-25.949700000,-70.608900000,,0.0000,,0.0000,0,0.001657679,0.511676150,90,2017-06-07,0,,"Mediterranean woodland","2023-10-12 09:43:57",,teatime
62,,"PdA PB SF3",2,1,12,-25.949700000,-70.608900000,,0.0000,,0.0000,0,0.002373002,0.528290921,90,2017-06-07,0,,"Mediterranean woodland","2023-10-12 09:43:57",,teatime
63,,"PdA PB SF4",2,1,12,-25.949700000,-70.608900000,,0.0000,,0.0000,0,0.005169826,0.754880845,90,2017-06-07,0,,"Mediterranean woodland","2023-10-12 09:43:57",,teatime
