id,file_id,name,tea_type,location_type,biome,latitude,longitude,start_weight_green,end_weight_green,start_weight_red,end_weight_red,weight_include,k,S,t,date_in,origin,source,comment,created_at
1,,Puyehue_Nothofagus.pumilio,2,1,4,-40.7767,-72.1978,,0,,0,0,0.006955918,0.114790519,91,1/11/18,0,,Temperate forests,10/12/23 9:43
2,,Puyehue_Saxegothaea.conspicua,2,1,4,-40.7592,-72.2976,,0,,0,0,0.011238716,0.26065408,91,1/11/18,0,,Temperate forests,10/12/23 9:43
3,,AlerceCostero_Nothofagus.nitida,2,1,4,-40.1986,-73.4315,,0,,0,0,0.010603153,0.468053829,88,1/11/18,0,,Temperate forests,10/12/23 9:43
4,,AlerceCostero_ValdivianForest,2,1,4,-40.1697,-73.549,,0,,0,0,0.005508697,0.215299629,88,1/11/18,0,,Temperate forests,10/12/23 9:43
5,,Tolhuaca_Nothofagus.dombeyi,2,1,4,-38.205,-71.8174,,0,,0,0,0.009441305,0.324013563,89,1/19/18,0,,Temperate forests,10/12/23 9:43
6,,Tolhuaca_Araucaria.araucana,2,1,4,-38.1998,-71.8107,,0,,0,0,0.006699425,0.12367908,89,1/19/18,0,,Temperate forests,10/12/23 9:43
7,,CT R1,2,1,4,-38.0291,-73.2051,,0,,0,0,0.009323658,0.286225785,108,8/28/17,0,,Temperate forests,10/12/23 9:43
8,,CT R2,2,1,4,-38.0291,-73.2051,,0,,0,0,0.01260042,0.326155935,108,8/28/17,0,,Temperate forests,10/12/23 9:43
9,,CT R3,2,1,4,-38.0291,-73.2051,,0,,0,0,0.010642451,0.267582599,108,8/28/17,0,,Temperate forests,10/12/23 9:43
10,,Nahuelbuta_Nothofagus.dombeyi,2,1,4,-37.8159,-73.009,,0,,0,0,0.004426625,0.105674047,90,1/20/18,0,,Temperate forests,10/12/23 9:43
11,,NH NF 6,2,1,4,-37.7843,-72.9956,,0,,0,0,0.006801158,0.184440369,196,5/31/17,0,,Temperate forests,10/12/23 9:43
12,,NH NF10,2,1,4,-37.7843,-72.9956,,0,,0,0,0.008395778,0.232529762,196,5/31/17,0,,Temperate forests,10/12/23 9:43
13,,NH NF7,2,1,4,-37.7843,-72.9956,,0,,0,0,0.006669516,0.314122191,196,5/31/17,0,,Temperate forests,10/12/23 9:43
14,,NH NF8,2,1,4,-37.7843,-72.9956,,0,,0,0,0.004572513,0.202468194,196,5/31/17,0,,Temperate forests,10/12/23 9:43
15,,NH NF9,2,1,4,-37.7843,-72.9956,,0,,0,0,0.005452707,0.211744205,196,5/31/17,0,,Temperate forests,10/12/23 9:43
16,,NH SF1,2,1,4,-37.7843,-72.9956,,0,,0,0,0.006626063,0.222182566,196,5/31/17,0,,Temperate forests,10/12/23 9:43
17,,NH SF2,2,1,4,-37.7843,-72.9956,,0,,0,0,0.006145262,0.171198693,196,5/31/17,0,,Temperate forests,10/12/23 9:43
18,,NH SF3,2,1,4,-37.7843,-72.9956,,0,,0,0,0.005459444,0.178947695,196,5/31/17,0,,Temperate forests,10/12/23 9:43
19,,NH SF4,2,1,4,-37.7843,-72.9956,,0,,0,0,0.006108436,0.202171908,196,5/31/17,0,,Temperate forests,10/12/23 9:43
20,,NH SF5,2,1,4,-37.7843,-72.9956,,0,,0,0,0.004476605,0.209100428,196,5/31/17,0,,Temperate forests,10/12/23 9:43
21,,LC NF10,2,1,4,-32.9524,-71.0731,,0,,0,0,0.009344889,0.39320759,88,6/3/17,0,,Temperate forests,10/12/23 9:43
22,,LC NF6,2,1,4,-32.9524,-71.0731,,0,,0,0,0.015440906,0.376706775,88,6/3/17,0,,Temperate forests,10/12/23 9:43
23,,LC NF7,2,1,4,-32.9524,-71.0731,,0,,0,0,0.015644148,0.353573726,88,6/3/17,0,,Temperate forests,10/12/23 9:43
24,,LC NF8,2,1,4,-32.9524,-71.0731,,0,,0,0,0.025030156,0.378621234,88,6/3/17,0,,Temperate forests,10/12/23 9:43
25,,LC NF9,2,1,4,-32.9524,-71.0731,,0,,0,0,0.018277631,0.375635589,88,6/3/17,0,,Temperate forests,10/12/23 9:43
